,,Variable,Small,Regular,Regular/Aide,Joint P-value
Students who entered STAR in kindergarten,1,Free lunch,0.47093023255813954,0.4773662551440329,0.5029266096352994,0.08806287081935893
Students who entered STAR in kindergarten,2,White/Asian,0.6829910479199579,0.6751824817518248,0.659345584939489,0.251418538291621
Students who entered STAR in kindergarten,3,Age in 1985,5.25566684238271,5.239269406392694,5.241255605381166,0.45083863528633583
Students who entered STAR in kindergarten,4,Attrition rate,0.48736842105263156,0.5177757520510483,0.5289108023307934,0.02407447526135642
Students who entered STAR in kindergarten,5,Class size in kindergarten,15.116842105263158,22.382862351868734,22.77409233527566,1.1102230246251565e-16
Students who entered STAR in kindergarten,6,Percentile score in kindergarten,0.5313508313552744,0.48351078820219595,0.48377403053691587,2.7887279152594147e-09
Students who entered STAR in first grade,1,Free lunch,0.5924932975871313,0.6241206030150753,0.606651376146789,0.5176230201997811
Students who entered STAR in first grade,2,White/Asian,0.6220472440944882,0.5615763546798029,0.6512935883014623,0.00026366157179691374
Students who entered STAR in first grade,3,Age in 1985,5.6068601583113455,5.692687747035573,5.691873589164786,0.07639631485487297
Students who entered STAR in first grade,4,Attrition rate,0.5272727272727272,0.5126705653021443,0.4684385382059801,0.06861545441028849
Students who entered STAR in first grade,5,Class size in first grade,15.87012987012987,22.709551656920077,23.45736434108527,1.1102230246251565e-16
Students who entered STAR in first grade,6,Percentile score in first grade,0.4782924441013602,0.414508430202759,0.4641328995770468,2.4706666399421096e-06
Students who entered STAR in second grade,1,Free lunch,0.6554621848739496,0.6332794830371568,0.6590909090909091,0.6047932136207042
Students who entered STAR in second grade,2,White/Asian,0.5735294117647058,0.5673076923076923,0.46485623003194887,0.00022835192088532796
Students who entered STAR in second grade,3,Age in 1985,5.721311475409836,5.75076923076923,5.780821917808219,0.42670175254904485
Students who entered STAR in second grade,4,Attrition rate,0.36885245901639346,0.3363914373088685,0.3490136570561457,0.5800481752772026
Students who entered STAR in second grade,5,Class size in second grade,15.5,23.714067278287462,23.591805766312596,1.1102230246251565e-16
Students who entered STAR in second grade,6,Percentile score in second grade,0.4475687532470344,0.4373259427622956,0.40244006132615395,0.011464659406088096
Students who entered STAR in third grade,1,Free lunch,0.598314606741573,0.6445497630331753,0.6863207547169812,0.03771740730170481
Students who entered STAR in third grade,2,White/Asian,0.6684782608695652,0.577433628318584,0.5577777777777778,0.0032889057108480557
Students who entered STAR in third grade,3,Age in 1985,5.777479892761394,5.756152125279642,5.836322869955157,0.27012862463228116
Students who entered STAR in third grade,4,Attrition rate,0.0,0.0,0.0,
Students who entered STAR in third grade,5,Class size in third grade,15.970509383378015,24.050660792951543,24.42543859649123,1.1102230246251565e-16
Students who entered STAR in third grade,6,Percentile score in third grade,0.46994325895871314,0.43918869956041445,0.4090632115354567,0.012958878227603665
